SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,school_name_clean,school_name_strict_clean,district_name_clean,zip5,phone_clean,street_address_clean,school_irn,county_name,region,region_id,anchor_county,school_level,school_type,is_regular_or_cte,latitude,longitude,coordinate_match_method,county_latitude,county_longitude,approx_longitude,approx_latitude,location_method,building_irn,school_name_clean_high_need,district_name_clean_high_need,Building Name,LEA Name,Federal ESEA Identification ,students_served,high_need,match_method,match_score
2024-2025,39,OHIO,OH,Youngstown Community School,Youngstown Community School,1,,OH-134072,3900017,OH-134072-134072,390001701509,3901509,50 Essex St,,,Youngstown,OH,44502,1838.0,50 Essex St,,,Youngstown,OH,44502,1838.0,(330)746-2240,http://www.youngstowncommunityschool.k12.oh.us,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,012931,OFFICE OF OHIO SCHOOL SPONSORSHIP,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,youngstown community,youngstown community school,youngstown community,44502,3307462240,50 essex st,134072,Mahoning,,,,Elementary,Regular School,True,,,unmatched,41.01467592417271,-80.7763432751895,-80.76367060251683,41.005746995243776,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Constellation Schools: Old Brooklyn Community Elementary,Constellation Schools: Old Brooklyn Community Elementary,1,,OH-134098,3900019,OH-134098-134098,390001901514,3901514,4430 State Rd,,,Cleveland,OH,44109,4705.0,4430 State Rd,,,Cleveland,OH,44109,4705.0,(216)661-7888,http://oldbrooklyncommunityelementary.constellationschools.c,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,constellation schools old brooklyn community elementary,constellation schools old brooklyn community elementary,constellation schools old brooklyn community elementary,44109,2166617888,4430 state rd,134098,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.70875174044785,41.4195589196971,county_centroid_jitter,134098,constellation schools old brooklyn community elementary,constellation schools old brooklyn community elementary,Constellation Schools: Old Brooklyn Community Elementary,Constellation Schools: Old Brooklyn Community Elementary,Priority (CSI),175.0,True,exact_irn,
2024-2025,39,OHIO,OH,Autism Model School,Autism Model School,1,,OH-134122,3900022,OH-134122-134122,390002201520,3901520,3020 Tremainsville Rd,,,Toledo,OH,43613,1901.0,3020 Tremainsville Rd,,,Toledo,OH,43613,1901.0,(419)897-4400,http://amstoledo.org,1,Open,1,Open,05/13/2025,Special Education School,2,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,02,12,Other,As reported,autism model,autism model school,autism model,43613,4198974400,3020 tremainsville rd,134122,Lucas,,,,Other,Special Education School,False,,,unmatched,41.61976141204927,-83.65903727357033,-83.71303126756433,41.611953604241464,county_centroid_jitter,134122,autism model,autism model,Autism Model School,Autism Model School,Priority (CSI),96.0,True,exact_irn,
2024-2025,39,OHIO,OH,Green Inspiration Academy,Green Inspiration Academy,1,,OH-134197,3900025,OH-134197-134197,390002501543,3901543,4901 Galaxy Pkwy Ste L,,,Cleveland,OH,44128,2811.0,4901 Galaxy Pkwy Ste L,,,Cleveland,OH,44128,2811.0,(216)378-9573,http://www.greeninspirationacademy.com/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,green inspiration academy,green inspiration academy,green inspiration academy,44128,2163789573,4901 galaxy pkwy ste l,134197,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.65722020891631,41.40562498576317,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Middlebury Academy,Middlebury Academy,1,,OH-134213,3900027,OH-134213-134213,390002701572,3901572,88 Kent St,,,Akron,OH,44305,2544.0,88 Kent St,,,Akron,OH,44305,2544.0,(330)752-2766,http://www.middleburyacademy.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,middlebury academy,middlebury academy,middlebury academy,44305,3307522766,88 kent st,134213,Summit,,,,Elementary,Regular School,True,,,unmatched,41.125795305065346,-81.53219505886828,-81.52997283664607,41.136646155916196,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,City Day Community School,City Day Community School,1,,OH-134247,3900029,OH-134247-134247,390002901578,3901578,320 S Main St,,,Dayton,OH,45402,2716.0,320 S Main St,,,Dayton,OH,45402,2716.0,(937)223-8130,http://www.cityday.org/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,007991,EDUCATIONAL RESOURCE CONSULTANTS OF OHIO,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,city day community,city day community school,city day community,45402,9372238130,320 s main st,134247,Montgomery,,,,Elementary,Regular School,True,,,unmatched,39.75459201369424,-84.29067041525755,-84.23919894378608,39.74117860028083,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Cincinnati College Preparatory Academy,Cincinnati College Preparatory Academy,1,,OH-133512,3900031,OH-133512-133512,390003102807,3902807,1425 Linn St,,,Cincinnati,OH,45214,2605.0,1425 Linn St,,,Cincinnati,OH,45214,2605.0,(513)684-0777,http://www.ccpalions.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,012931,OFFICE OF OHIO SCHOOL SPONSORSHIP,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,cincinnati college preparatory academy,cincinnati college preparatory academy,cincinnati college preparatory academy,45214,5136840777,1425 linn st,133512,Hamilton,,,,Other,Regular School,True,,,unmatched,39.195579816552296,-84.54271197071733,-84.592381640387,39.23413837511085,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Edge Learning,Edge Learning,1,,OH-133538,3900033,OH-133538-133538,390003302834,3902834,92 N Union St,,,Akron,OH,44304,1347.0,92 N Union St,,,Akron,OH,44304,1347.0,(330)535-4581,http://new.edge4kids.org/joomla/index.php,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,edge learning,edge learning,edge learning,44304,3305354581,92 n union st,133538,Summit,,,,Elementary,Regular School,True,,,unmatched,41.125795305065346,-81.53219505886828,-81.54919205586528,41.11926877853882,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Ohio Achievement Charter Schools Inc. dba Millennium Commun,Ohio Achievement Charter Schools Inc. dba Millennium Commun,1,,OH-133561,3900036,OH-133561-133561,390003602838,3902838,3500 Refugee Rd,,,Columbus,OH,43232,4862.0,3500 Refugee Rd,,,Columbus,OH,43232,4862.0,(614)255-5585,http://www.2kschool.com/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,007991,EDUCATIONAL RESOURCE CONSULTANTS OF OHIO,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,ohio achievement charter schools inc dba millennium commun,ohio achievement charter schools inc dba millennium commun,ohio achievement charter schools inc dba millennium commun,43232,6142555585,3500 refugee rd,133561,Franklin,Group 1 - Columbus Core,1.0,Franklin,Elementary,Regular School,True,,,unmatched,39.96948401079257,-83.0093204437284,-83.04157269598065,39.98369822500678,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Summit Academy Akron Elementary School,Summit Academy Akron Elementary School,1,,OH-133587,3900038,OH-133587-133587,390003802844,3902844,2503 Leland Ave,,,Akron,OH,44312,2426.0,2503 Leland Ave,,,Akron,OH,44312,2426.0,(330)253-7441,http://summitacademies.org/schools/akron-elementary/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,summit academy akron,summit academy akron elementary school,summit academy akron,44312,3302537441,2503 leland ave,133587,Summit,,,,Elementary,Regular School,True,,,unmatched,41.125795305065346,-81.53219505886828,-81.51579866247188,41.111981491251534,county_centroid_jitter,,,,,,,0.0,False,unmatched,
